                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3731,                 2.1115,                 1.7589,                0.15123,                0.12922,                0.05761,                0.01849,                 2.5406,                  2.803,                 1.9553,                 0.0706,              0.0032667,              0.0032667
                      2,                 2.1735,                 1.6691,                 1.6176,                0.01803,                0.22173,                  0.011,                0.00413,                 2.3069,                    inf,                 2.1408,               0.040587,              0.0065869,              0.0065869
                      3,                 2.1553,                 1.6397,                 1.6299,                0.40791,                0.51291,                0.34435,                0.10852,                  2.173,                 2.6864,                 1.8309,               0.010561,               0.009894,               0.009894
                      4,                 2.1426,                 1.6528,                 1.6317,                0.56947,                0.60206,                0.60513,                0.24349,                 2.0501,                 1.9198,                 1.6296,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.0997,                 1.5963,                  1.593,                 0.6696,                 0.6547,                0.70501,                0.30632,                 1.9037,                 1.9031,                 1.4957,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.1023,                 1.5694,                 1.5904,                 0.6133,                0.60793,                0.63706,                 0.2743,                 1.9227,                 1.6815,                 1.5142,              0.0099208,              0.0099208,              0.0099208
                      7,                 2.0758,                 1.5477,                 1.5882,                0.47332,                0.39501,                0.41763,                0.13186,                 2.1925,                 1.8535,                  1.695,               0.009901,               0.009901,               0.009901
                      8,                 2.0808,                 1.5404,                 1.5919,                0.61878,                0.70925,                0.68715,                0.30917,                  1.852,                 1.7423,                 1.4761,              0.0098812,              0.0098812,              0.0098812
                      9,                 2.0464,                 1.5153,                 1.5607,                0.69893,                0.70905,                0.75099,                0.33594,                 1.8249,                 1.6073,                 1.4839,              0.0098614,              0.0098614,              0.0098614
                     10,                 2.0825,                 1.5451,                 1.5929,                0.60349,                0.68391,                0.65649,                0.26996,                 1.9319,                 1.5466,                 1.5116,              0.0098416,              0.0098416,              0.0098416
                     11,                 2.0474,                 1.5158,                 1.5655,                0.57851,                0.56029,                0.58784,                0.23366,                 2.0477,                  2.334,                 1.5675,              0.0098218,              0.0098218,              0.0098218
                     12,                 2.0575,                 1.5028,                 1.5764,                0.60186,                0.61233,                0.62789,                0.25362,                 1.9541,                 1.4138,                 1.5571,               0.009802,               0.009802,               0.009802
                     13,                 2.0425,                 1.5027,                 1.5668,                0.66729,                0.72247,                0.75358,                0.33879,                 1.8817,                 1.8876,                 1.4953,              0.0097822,              0.0097822,              0.0097822
                     14,                 2.0344,                 1.4874,                 1.5692,                0.67519,                0.73258,                0.75555,                0.34951,                 1.8102,                 1.4489,                 1.4829,              0.0097624,              0.0097624,              0.0097624
                     15,                 2.0093,                 1.4508,                 1.5388,                 0.6484,                0.59178,                0.64707,                0.26236,                  2.077,                 1.4484,                 1.6371,              0.0097426,              0.0097426,              0.0097426
                     16,                 2.0188,                 1.4523,                 1.5539,                0.66587,                0.67891,                0.73605,                0.33533,                 1.8397,                 1.4087,                 1.4822,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.9874,                 1.4373,                 1.5437,                0.67434,                0.68282,                0.73613,                0.33921,                 1.8296,                 1.7948,                 1.4865,               0.009703,               0.009703,               0.009703
                     18,                 2.0099,                 1.4499,                 1.5655,                0.65018,                0.67139,                0.68765,                0.29655,                 1.9256,                 1.3144,                 1.5331,              0.0096832,              0.0096832,              0.0096832
                     19,                 2.0068,                 1.4395,                 1.5515,                0.61362,                0.61334,                 0.6584,                 0.2631,                 2.0483,                 1.3829,                 1.6062,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.9943,                  1.432,                 1.5513,                0.63987,                0.71219,                 0.7414,                0.33747,                 1.8229,                 1.5615,                 1.4756,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.9963,                 1.4403,                 1.5544,                0.64045,                0.71408,                0.72139,                0.32018,                   1.86,                 2.0073,                 1.5081,              0.0096238,              0.0096238,              0.0096238
                     22,                   2.01,                 1.4552,                 1.5431,                0.65967,                 0.6831,                0.69026,                0.28561,                 1.9923,                 1.7488,                  1.581,               0.009604,               0.009604,               0.009604
                     23,                 1.9858,                 1.4264,                 1.5443,                0.66195,                 0.6652,                0.69561,                0.30384,                 1.9239,                 1.5558,                 1.5368,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.9987,                 1.4374,                 1.5455,                0.67148,                 0.6693,                0.72304,                0.30345,                 1.9774,                  1.286,                 1.5649,              0.0095644,              0.0095644,              0.0095644
                     25,                  1.988,                 1.4208,                 1.5394,                0.68131,                0.67401,                0.72923,                0.29348,                 1.9893,                 1.3212,                 1.5759,              0.0095446,              0.0095446,              0.0095446
                     26,                  2.015,                 1.4338,                 1.5659,                0.71452,                 0.6696,                0.76048,                 0.3411,                 1.8361,                  1.365,                 1.4922,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.9827,                 1.4236,                 1.5405,                0.67046,                0.68713,                0.74009,                 0.3352,                 1.8264,                 1.7295,                 1.4784,               0.009505,               0.009505,               0.009505
                     28,                 1.9997,                  1.437,                 1.5626,                 0.6026,                0.59912,                0.62855,                0.26249,                 1.9711,                 1.4568,                  1.576,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.9978,                 1.4503,                 1.5474,                0.67917,                0.69163,                0.72577,                0.32685,                 1.8843,                 1.3511,                 1.5191,              0.0094654,              0.0094654,              0.0094654
                     30,                  1.984,                 1.4151,                  1.547,                0.69423,                0.67107,                0.75603,                0.33941,                 1.8926,                 1.7198,                 1.5239,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.9881,                 1.4187,                 1.5553,                0.65749,                0.67254,                0.72359,                0.31624,                 1.9366,                 1.6563,                 1.5425,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.9687,                 1.4084,                 1.5342,                0.68532,                0.66373,                0.72622,                0.32174,                 1.8805,                  1.279,                 1.5327,               0.009406,               0.009406,               0.009406
                     33,                 1.9754,                 1.4235,                 1.5379,                0.67342,                0.67695,                0.73351,                0.31888,                 1.8843,                  1.322,                  1.524,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.9682,                 1.4014,                 1.5372,                 0.7035,                0.69457,                0.76312,                0.35412,                 1.8315,                 1.2047,                 1.4967,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.9773,                 1.4131,                 1.5398,                 0.6714,                0.73507,                 0.7772,                0.36663,                 1.8203,                 1.2451,                 1.4883,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.9824,                 1.4066,                 1.5472,                0.70121,                0.67988,                0.77088,                0.35948,                 1.8202,                 1.3008,                 1.4775,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.9549,                 1.4021,                 1.5316,                 0.6866,                0.65786,                0.72126,                0.28575,                 2.0798,                 1.2978,                 1.6343,               0.009307,               0.009307,               0.009307
                     38,                 1.9735,                 1.4179,                 1.5584,                0.71828,                0.69897,                 0.7479,                0.34369,                 1.8372,                 1.2397,                 1.5028,              0.0092872,              0.0092872,              0.0092872
